9.25, 364.75, 416.75
436.75, 53.75, 368.0
392.5, 89.0, 30.0
202.25, 236.0, 137.0
59.25, 298.25, 345.75
67.0, 330.25, 309.25
163.0, 330.25, 309.25
29.0, 330.25, 309.25
398.25, 119.5, 64.75
565.25, 119.5, 64.75
396.25, 119.5, 64.75
253.0, 483.25, 287.75
167.75, 120.5, 362.75
379.25, 240.0, 129.25
241.75, 342.25, 323.5
209.75, 353.75, 493.75
388.0, 483.25, 287.75
302.75, 120.5, 362.75
514.25, 240.0, 129.25
376.75, 342.25, 323.5
344.75, 353.75, 493.75
465.0, 483.25, 287.75
379.75, 120.5, 362.75
591.25, 240.0, 129.25
453.75, 342.25, 323.5
421.75, 353.75, 493.75
421.25, 192.75, 404.75
389.75, 308.5, 383.75
419.5, 239.5, 141.5
498.0, 475.25, 400.5
14.25, 478.0, 176.75
480.5, 101.75, 413.5
25.25, 14.25, 222.75
520.0, 475.25, 400.5
36.25, 478.0, 176.75
502.5, 101.75, 413.5
47.25, 14.25, 222.75
470.0, 475.25, 400.5
-13.75, 478.0, 176.75
452.5, 101.75, 413.5
-2.75, 14.25, 222.75
759.0, 475.25, 400.5
275.25, 478.0, 176.75
741.5, 101.75, 413.5
286.25, 14.25, 222.75
702.0, 475.25, 400.5
218.25, 478.0, 176.75
684.5, 101.75, 413.5
229.25, 14.25, 222.75
742.0, 475.25, 400.5
258.25, 478.0, 176.75
724.5, 101.75, 413.5
269.25, 14.25, 222.75
367.0, 461.75, 397.5
351.0, 461.75, 397.5
395.0, 461.75, 397.5
595.0, 461.75, 397.5
477.5, 73.5, 479.0
104.0, 458.75, 303.0
336.5, 338.75, 425.25
481.75, 467.0, 487.25
21.25, 384.25, 191.5
285.0, 146.0, 325.25
234.5, 219.0, 397.25
190.75, 279.25, 449.0
478.5, 128.5, 53.0
314.75, 15.75, 280.0
116.5, 66.75, 246.25
229.75, 279.25, 449.0
517.5, 128.5, 53.0
353.75, 15.75, 280.0
155.5, 66.75, 246.25
266.75, 279.25, 449.0
554.5, 128.5, 53.0
390.75, 15.75, 280.0
192.5, 66.75, 246.25
210.75, 279.25, 449.0
498.5, 128.5, 53.0
334.75, 15.75, 280.0
136.5, 66.75, 246.25
161.75, 279.25, 449.0
449.5, 128.5, 53.0
285.75, 15.75, 280.0
87.5, 66.75, 246.25
41.75, 381.75, 414.25
118.75, 259.0, 348.25
202.25, 202.5, 432.25
190.5, 219.75, 33.0
14.75, 381.75, 414.25
91.75, 259.0, 348.25
175.25, 202.5, 432.25
163.5, 219.75, 33.0
28.75, 381.75, 414.25
105.75, 259.0, 348.25
189.25, 202.5, 432.25
177.5, 219.75, 33.0
304.75, 381.75, 414.25
381.75, 259.0, 348.25
465.25, 202.5, 432.25
453.5, 219.75, 33.0
