178.25, 114.5
250.25, 352.5
231.25, 114.5
303.25, 352.5
258.25, 427.0
461.75, 181.5
304.25, 241.75
117.75, 211.0
516.25, 427.0
719.75, 181.5
562.25, 241.75
375.75, 211.0
213.25, 427.0
416.75, 181.5
259.25, 241.75
72.75, 211.0
415.75, 112.0
292.5, 64.25
483.5, 390.0
417.75, 437.75
186.5, 347.0
345.75, 112.0
222.5, 64.25
413.5, 390.0
347.75, 437.75
116.5, 347.0
677.75, 112.0
554.5, 64.25
745.5, 390.0
679.75, 437.75
448.5, 347.0
602.75, 112.0
479.5, 64.25
670.5, 390.0
604.75, 437.75
373.5, 347.0
417.75, 112.0
294.5, 64.25
485.5, 390.0
419.75, 437.75
188.5, 347.0
542.75, 112.0
419.5, 64.25
610.5, 390.0
544.75, 437.75
313.5, 347.0
12.25, 146.75
218.25, 146.75
-38.75, 146.75
138.25, 146.75
108.25, 146.75
-7.75, 146.75
174.0, 484.75
350.75, 216.75
191.5, 259.25
112.0, 484.75
288.75, 216.75
129.5, 259.25
41.5, 152.5
40.75, 468.75
58.25, 270.5
2.5, 343.0
-13.5, 152.5
-14.25, 468.75
3.25, 270.5
-52.5, 343.0
-33.5, 152.5
-34.25, 468.75
-16.75, 270.5
-72.5, 343.0
108.5, 152.5
107.75, 468.75
125.25, 270.5
69.5, 343.0
365.0, 465.5
214.25, 450.5
357.5, 470.5
352.0, 465.5
201.25, 450.5
344.5, 470.5
624.0, 465.5
473.25, 450.5
616.5, 470.5
22.5, 312.25
247.25, 224.5
462.25, 5.75
-28.5, 312.25
196.25, 224.5
411.25, 5.75
185.5, 312.25
410.25, 224.5
625.25, 5.75
96.5, 312.25
321.25, 224.5
536.25, 5.75
164.5, 312.25
389.25, 224.5
604.25, 5.75
125.0, 289.25
460.25, 0.75
422.0, 482.5
255.0, 289.25
590.25, 0.75
552.0, 482.5
182.0, 289.25
517.25, 0.75
479.0, 482.5
230.0, 46.0
185.0, 350.75
384.75, 489.75
154.25, 111.25
44.75, 150.75
276.0, 46.0
231.0, 350.75
430.75, 489.75
200.25, 111.25
90.75, 150.75
193.75, 281.75
166.25, 145.0
368.5, 249.5
499.5, 474.0
212.75, 44.0
300.75, 281.75
273.25, 145.0
475.5, 249.5
606.5, 474.0
319.75, 44.0
224.75, 281.75
197.25, 145.0
399.5, 249.5
530.5, 474.0
243.75, 44.0
111.0, 135.25
